sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2023-12-24T03:28:54;97876.47;;;8.93;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:31:21;97886.00;;;9.01;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:33:51;97892.53;;;8.98;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:36:17;97896.16;;;9.04;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:38:44;97882.13;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:41:11;97884.38;;;9.00;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:43:38;97869.28;;;8.94;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:46:04;97895.22;;;8.92;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:48:32;97888.03;;;8.99;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:50:58;97891.28;;;9.01;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:53:24;97879.69;;;8.95;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:55:51;97879.88;;;9.00;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:58:17;97881.94;;;8.98;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:00:43;97879.47;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:03:10;97876.84;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:05:36;97876.03;;;8.90;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:08:03;97865.06;;;8.86;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:10:30;97872.84;;;8.81;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:13:00;97871.19;;;8.87;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:15:27;97863.81;;;8.89;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:17:54;97874.63;;;8.87;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:20:20;97873.44;;;8.83;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:22:46;97863.66;;;8.84;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:25:13;97871.16;;;8.93;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:27:39;97855.00;;;8.95;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:30:06;97870.13;;;8.94;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:32:33;97868.88;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:34:59;97860.94;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:37:25;97862.97;;;8.95;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:39:52;97868.03;;;9.03;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:42:18;97854.81;;;8.96;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:44:44;97854.03;;;8.89;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:47:11;97841.41;;;8.85;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:49:37;97848.56;;;8.84;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:52:04;97838.97;;;8.83;100.00
113;BME280;45999;48.808;9.182;2023-12-24T04:54:31;97838.75;;;8.85;100.00
