sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:22:19;8;8;7
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:25:19;6;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:25:25;6;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:28:26;3;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:28:31;3;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:31:32;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:31:38;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:34:38;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:34:44;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:37:44;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:37:50;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:40:50;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:40:56;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:43:57;10;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:44:03;10;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:47:03;3;3;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:47:09;3;3;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:50:10;9;9;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:50:16;9;9;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:53:16;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:53:23;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:56:23;6;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:56:31;6;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:59:31;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:59:38;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:02:39;3;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:02:45;3;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:05:50;6;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:05:54;6;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:08:58;5;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:09:02;5;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:12:02;6;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:12:08;6;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:15:08;5;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:15:14;5;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:18:15;17;9;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:18:21;17;9;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:21:21;6;6;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:21:27;6;6;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:24:27;7;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:24:33;7;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:27:39;2;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:30:51;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:31:12;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:33:59;8;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:34:21;8;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:37:06;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:37:27;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:40:18;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:40:33;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:43:24;2;2;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:43:39;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:46:30;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:46:47;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:49:36;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:49:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:52:42;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:52:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:55:50;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:56:05;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:58:56;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T02:59:10;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:02:02;2;2;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:02:16;2;2;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:05:08;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:05:22;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:08:17;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:08:29;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:11:23;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:11:34;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:14:29;2;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:14:40;2;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:17:35;2;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:17:46;2;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:20:42;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:20:52;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:23:48;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:23:57;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:26:54;4;4;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:27:03;4;4;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:30:01;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:30:09;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:33:07;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:33:15;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:36:17;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:36:23;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:39:23;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:39:29;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:42:29;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:42:35;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:45:35;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:45:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:48:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:48:47;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:51:48;4;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:51:54;4;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:54:54;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:55:00;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:58:00;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T03:58:06;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:01:07;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:01:14;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:04:14;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:04:20;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:07:20;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:07:26;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:10:27;3;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:10:32;3;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:13:33;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:13:40;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:16:39;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:16:46;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:19:45;8;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:19:52;8;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:22:51;0;0;0
