date, pm25, pm10, o3, no2, so2
2022/9/29, 25, 13, 13, 17, 
2022/9/30, 32, 7, 19, 9, 
2022/4/1, 59, 12, 30, 5, 
2022/4/2, 33, 6, 29, 5, 
2022/4/3, 12, 15, 30, 9, 
2022/4/4, 36, 5, 25, 9, 
2022/4/5, 11, 8, 23, 10, 
2022/4/6, 25, 4, 30, 6, 
2022/4/7, 10, 5, 27, 7, 
2022/4/8, 12, 5, 28, 7, 
2022/4/9, 15, 6, 29, 5, 
2022/4/10, 14, 10, 26, 14, 
2022/4/11, 26, 11, 33, 10, 
2022/4/12, 27, 17, 36, 11, 
2022/4/13, 45, 20, 29, 12, 
2022/4/14, 49, 9, 25, 5, 
2022/4/15, 25, 7, 29, 7, 
2022/4/16, 26, 17, 31, 10, 
2022/4/17, 48, 12, 31, 9, 
2022/4/18, 34, 10, 27, 11, 
2022/4/19, 24, 15, 26, 14, 
2022/4/20, 39, 14, 17, 12, 
2022/4/21, 38, 20, 19, 11, 
2022/4/22, 54, 11, 35, 7, 
2022/4/23, 25, 15, 29, 9, 
2022/4/24, 39, 14, 21, 12, 
2022/4/25, 35, 13, 24, 14, 
2022/4/26, 32, 17, 23, 17, 
2022/4/27, 47, 21, 31, 15, 
2022/4/28, 56, 21, 27, 17, 
2022/4/29, 57, 22, 32, 13, 
2022/4/30, 57, 29, 39, 10, 
2022/5/1, 71, 18, 34, 14, 
2022/5/2, 48, 22, 36, 14, 
2022/5/3, 56, 20, 36, 9, 
2022/5/4, 55, 19, 32, 12, 
2022/5/5, 49, 19, 31, 15, 
2022/5/6, 49, 14, 34, 13, 
2022/5/7, 34, 17, 29, 11, 
2022/5/8, 52, 16, 33, 15, 
2022/5/9, 44, 19, 32, 16, 
2022/5/10, 52, 19, 39, 14, 
2022/5/11, 52, 15, 35, 8, 
2022/5/12, 41, 17, 34, 11, 
2022/5/13, 43, 15, 37, 8, 
2022/5/14, 42, 15, 36, 9, 
2022/5/15, 41, 17, 38, 14, 
2022/5/16, 44, 14, 23, 12, 
2022/5/17, 35, 19, 41, 9, 
2022/5/18, 52, 15, 39, 12, 
2022/5/19, 38, 14, 28, 13, 
2022/5/20, 38, 8, 31, 5, 
2022/5/21, 16, 11, 33, 7, 
2022/5/22, 26, 11, 34, 9, 
2022/5/23, 24, 10, 27, 11, 
2022/5/24, 25, 10, 28, 14, 
2022/5/25, 28, 8, 32, 5, 
2022/5/26, 14, 8, 30, 7, 
2022/5/27, 15, 7, 30, 5, 
2022/5/28, 16, 8, 30, 7, 
2022/5/29, 15, 9, 26, 10, 
2022/5/30, 22, 10, 35, 11, 
2022/5/31, 22, 12, 34, 11, 
2022/6/1, 30, 9, 35, 11, 
2022/6/2, 20, 13, 42, 12, 
2022/6/3, 32, 21, 33, 12, 
2022/6/4, 56, 21, 44, 8, 
2022/6/5, 54, 8, 31, 6, 
2022/6/6, 17, 12, 23, 12, 
2022/6/7, 30, 14, 28, 13, 
2022/6/8, 37, 12, 19, 12, 
2022/6/9, 28, 14, 34, 10, 
