date,city,pm25,pm10
2014-10-16,"potsdam-zentrum,-germany", , 20
2014-10-16,"dresden-bergstraße,-germany", , 17
2014-10-16,"sternschanze,-hamburg, germany", 60, 26
2014-10-16,munich, , 23
2014-10-16,"stuttgart-bad-cannstatt, germany", , 20
2014-10-17,"hannover,-germany",, 13
2014-10-17,"potsdam-zentrum,-germany", , 24
2014-10-17,"sternschanze,-hamburg, germany", 52, 27
2014-10-17,munich, , 19
2014-10-17,"berlin,-germany", , 35
2014-10-17,"dresden-bergstraße,-germany", , 22
2014-10-17,"stuttgart-bad-cannstatt, germany", , 13
2014-10-18,"stuttgart-bad-cannstatt, germany", , 18
2014-10-18,"potsdam-zentrum,-germany", , 25
2014-10-18,"berlin,-germany", , 39
2014-10-18,munich, , 18
2014-10-18,"dresden-bergstraße,-germany", , 17
2014-10-18,"hannover,-germany",, 16
2014-10-18,"sternschanze,-hamburg, germany", 39, 15
2014-10-19,"hannover,-germany",, 8
2014-10-19,"sternschanze,-hamburg, germany", 32, 12
2014-10-19,"potsdam-zentrum,-germany", , 11
2014-10-19,munich, , 17
2014-10-19,"dresden-bergstraße,-germany", , 13
2014-10-19,"berlin,-germany", , 23
2014-10-19,"stuttgart-bad-cannstatt, germany", , 20
2014-10-20,"dresden-bergstraße,-germany", , 13
2014-10-20,"berlin,-germany", , 21
2014-10-20,"stuttgart-bad-cannstatt, germany", , 27
2014-10-20,"potsdam-zentrum,-germany", , 13
2014-10-20,munich, , 20
2014-10-20,"sternschanze,-hamburg, germany", 21, 10
2014-10-20,"hannover,-germany",, 10
2014-10-21,"potsdam-zentrum,-germany", , 15
2014-10-21,"dresden-bergstraße,-germany", , 17
2014-10-21,"berlin,-germany", , 23
2014-10-21,"hannover,-germany",, 12
2014-10-21,"stuttgart-bad-cannstatt, germany", , 20
2014-10-21,"sternschanze,-hamburg, germany", 25, 6
2014-10-21,munich, , 25
2014-10-22,"dresden-bergstraße,-germany", , 10
2014-10-22,"sternschanze,-hamburg, germany", 23, 16
2014-10-22,munich, , 12
2014-10-22,"berlin,-germany", , 20
2014-10-22,"potsdam-zentrum,-germany", , 11
2014-10-22,"hannover,-germany",, 10
2014-10-22,"stuttgart-bad-cannstatt, germany", , 17
2014-10-23,"potsdam-zentrum,-germany", , 25
2014-10-23,"dresden-bergstraße,-germany", , 30
2014-10-23,munich, , 14
2014-10-23,"berlin,-germany", , 34
2014-10-23,"hannover,-germany",, 15
2014-10-23,"stuttgart-bad-cannstatt, germany", , 24
2014-10-23,"sternschanze,-hamburg, germany", 41, 27
2014-10-24,"sternschanze,-hamburg, germany", 55, 22
2014-10-24,munich, , 26
2014-10-24,"stuttgart-bad-cannstatt, germany", , 40
2014-10-24,"dresden-bergstraße,-germany", , 25
2014-10-24,"potsdam-zentrum,-germany", , 21
2014-10-24,"hannover,-germany",, 17
2014-10-24,"berlin,-germany", , 31
2014-10-25,"dresden-bergstraße,-germany", , 22
2014-10-25,"potsdam-zentrum,-germany", , 27
2014-10-25,"sternschanze,-hamburg, germany", 54, 23
2014-10-25,"hannover,-germany",, 16
2014-10-25,"stuttgart-bad-cannstatt, germany", , 37
2014-10-25,"berlin,-germany", , 36
2014-10-25,munich, , 19
2014-10-26,"dresden-bergstraße,-germany", , 29
2014-10-26,"sternschanze,-hamburg, germany", 61, 16
2014-10-26,"stuttgart-bad-cannstatt, germany", , 38
2014-10-26,munich, , 14
2014-10-26,"potsdam-zentrum,-germany", , 23
2014-10-26,"berlin,-germany", , 34
2014-10-26,"hannover,-germany",, 13
2014-10-27,"potsdam-zentrum,-germany", , 21
2014-10-27,"stuttgart-bad-cannstatt, germany", , 28
2014-10-27,"sternschanze,-hamburg, germany", 34, 20
2014-10-27,"dresden-bergstraße,-germany", , 22
2014-10-27,"hannover,-germany",, 11
2014-10-27,"berlin,-germany", , 33
2014-10-27,munich, , 15
2014-10-28,"potsdam-zentrum,-germany", , 27
2014-10-28,"stuttgart-bad-cannstatt, germany", , 32
2014-10-28,"berlin,-germany", , 41
2014-10-28,munich, , 17
2014-10-28,"hannover,-germany",, 14
2014-10-28,"dresden-bergstraße,-germany", , 25
2014-10-28,"sternschanze,-hamburg, germany", 56, 28
2014-10-29,munich, , 21
2014-10-29,"dresden-bergstraße,-germany", , 33
2014-10-29,"berlin,-germany", , 46
2014-10-29,"stuttgart-bad-cannstatt, germany", , 49
2014-10-29,"hannover,-germany",, 19
2014-10-29,"sternschanze,-hamburg, germany", 70, 27
2014-10-29,"potsdam-zentrum,-germany", , 32
2014-10-30,"hannover,-germany",, 17
2014-10-30,"potsdam-zentrum,-germany", , 31
2014-10-30,"dresden-bergstraße,-germany", , 47
2014-10-30,"sternschanze,-hamburg, germany", 61, 26
2014-10-30,"stuttgart-bad-cannstatt, germany", , 54
2014-10-30,munich, , 34
2014-10-30,"berlin,-germany", , 47
2014-10-31,"dresden-bergstraße,-germany", , 36
2014-10-31,"potsdam-zentrum,-germany", , 32
2014-10-31,"berlin,-germany", , 46
2014-10-31,"hannover,-germany",, 17
2014-10-31,munich, , 31
2014-10-31,"stuttgart-bad-cannstatt, germany", , 45
2014-10-31,"sternschanze,-hamburg, germany", 60, 27
2014-11-01,"sternschanze,-hamburg, germany", 58, 20
2014-11-01,"potsdam-zentrum,-germany", , 24
2014-11-01,munich, , 26
2014-11-01,"berlin,-germany", , 43
2014-11-01,"dresden-bergstraße,-germany", , 35
2014-11-01,"stuttgart-bad-cannstatt, germany", , 38
2014-11-01,"hannover,-germany",, 17
2014-11-02,"potsdam-zentrum,-germany", , 17
2014-11-02,"berlin,-germany", , 32
2014-11-02,"dresden-bergstraße,-germany", , 20
2014-11-02,"hannover,-germany",, 
2014-11-02,"stuttgart-bad-cannstatt, germany", , 34
2014-11-02,"sternschanze,-hamburg, germany", , 17
2014-11-02,munich, , 19
2014-11-03,"dresden-bergstraße,-germany", , 29
2014-11-03,"sternschanze,-hamburg, germany", 45, 10
2014-11-03,munich, , 18
2014-11-03,"stuttgart-bad-cannstatt, germany", , 36
2014-11-03,"berlin,-germany", , 30
2014-11-03,"hannover,-germany",, 11
2014-11-03,"potsdam-zentrum,-germany", , 17
2014-11-04,"hannover,-germany",, 7
2014-11-04,"sternschanze,-hamburg, germany", 30, 11
2014-11-04,"potsdam-zentrum,-germany", , 26
2014-11-04,"dresden-bergstraße,-germany", , 35
2014-11-04,"berlin,-germany", , 45
2014-11-04,"stuttgart-bad-cannstatt, germany", , 38
2014-11-04,munich, , 16
2014-11-05,"dresden-bergstraße,-germany", , 33
2014-11-05,"sternschanze,-hamburg, germany", 39, 14
2014-11-05,"potsdam-zentrum,-germany", , 31
2014-11-05,"hannover,-germany",, 11
2014-11-05,"stuttgart-bad-cannstatt, germany", , 17
2014-11-05,munich, , 22
2014-11-05,"berlin,-germany", , 45
2014-11-06,"dresden-bergstraße,-germany", , 29
2014-11-06,"potsdam-zentrum,-germany", , 18
2014-11-06,"hannover,-germany",, 16
2014-11-06,"berlin,-germany", , 27
2014-11-06,munich, , 18
2014-11-06,"stuttgart-bad-cannstatt, germany", , 17
2014-11-06,"sternschanze,-hamburg, germany", 41, 32
2014-11-07,munich, , 21
2014-11-07,"sternschanze,-hamburg, germany", 74, 23
2014-11-07,"hannover,-germany",, 17
2014-11-07,"berlin,-germany", , 38
2014-11-07,"potsdam-zentrum,-germany", , 27
2014-11-07,"dresden-bergstraße,-germany", , 30
2014-11-07,"stuttgart-bad-cannstatt, germany", , 34
2014-11-08,"stuttgart-bad-cannstatt, germany", , 25
2014-11-08,"dresden-bergstraße,-germany", , 22
2014-11-08,"hannover,-germany",, 11
2014-11-08,"berlin,-germany", , 38
2014-11-08,munich, , 15
2014-11-08,"sternschanze,-hamburg, germany", 61, 17
2014-11-09,"hannover,-germany",, 11
2014-11-09,munich, , 17
2014-11-09,"sternschanze,-hamburg, germany", 48, 24
2014-11-09,"potsdam-zentrum,-germany", , 
2014-11-09,"stuttgart-bad-cannstatt, germany", , 31
2014-11-09,"dresden-bergstraße,-germany", , 14
2014-11-09,"berlin,-germany", , 37
2014-11-10,"hannover,-germany",, 15
2014-11-10,"dresden-bergstraße,-germany", , 36
2014-11-10,munich, , 22
2014-11-10,"berlin,-germany", , 39
2014-11-10,"stuttgart-bad-cannstatt, germany", , 37
2014-11-10,"potsdam-zentrum,-germany", , 24
